# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=890819740
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./testtraces_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-4431.24,1,0.03125,2,3,0,6610.46,0.87275,0.954173
-4431.24,0,14.3855,0,1,1,4431.32,0.87275,0.954173
-4431.24,0,2.43117,0,1,1,4431.9,0.87275,0.954173
-4431.24,0,0.239791,0,1,1,4431.77,0.87275,0.954173
-4314.81,1,0.0186273,1,1,0,4420.03,0.864142,0.948755
-4171.49,1,0.0257257,1,1,0,4282.99,0.847619,0.938211
-4113.72,1,0.0404064,1,1,0,4133.84,0.822574,0.917662
-4113.72,3.39559e-34,0.0687243,1,3,1,4114,0.822574,0.917662
-4111.26,1,0.00530085,3,7,0,4113.94,0.824848,0.917752
-4110.45,1,0.00961161,2,3,0,4111.29,0.825668,0.917738
-4109.18,1,0.0179176,1,1,0,4110.81,0.827104,0.917571
-4103.01,1,0.0339435,1,1,0,4107.31,0.836242,0.920871
-4095.3,1,0.0648221,1,1,0,4103.16,0.850756,0.917237
-4095.3,1.55703e-234,0.124086,1,2,1,4096.04,0.850756,0.917237
-4095.23,0.99977,0.0104922,1,1,0,4095.35,0.850912,0.917204
-4094.41,1,0.0203454,2,3,0,4095.18,0.851175,0.916251
-4094.41,0.213451,0.0392979,1,1,0,4095.92,0.851175,0.916251
-4091.7,0.999065,0.0068261,3,7,0,4094.56,0.856133,0.914047
-4091.63,0.998248,0.0132046,1,1,0,4091.75,0.856439,0.914078
-4087.12,0.886492,0.0252729,2,3,0,4092.36,0.867401,0.909423
-4083.67,0.608454,0.0343557,3,11,0,4089.01,0.913325,0.898128
-4084.8,0.948269,0.0204481,2,7,0,4085.87,0.919154,0.892093
-4086.02,0.932762,0.0332777,2,3,0,4086.03,0.923686,0.890369
-4086.02,0.0486275,0.0513836,1,3,0,4086.27,0.923686,0.890369
-4085.85,1,0.00616597,2,3,0,4086.05,0.923745,0.890622
-4085.9,0.993555,0.0116301,3,7,0,4086.27,0.92329,0.890536
-4083.32,0.989884,0.0213167,3,13,0,4087.5,0.898963,0.897102
-4083.12,0.620787,0.038285,2,7,0,4084.1,0.893046,0.899304
-4083.21,0.995773,0.0243606,3,15,0,4085.46,0.908135,0.899684
-4082.47,0.530791,0.0439974,2,7,0,4083.91,0.894564,0.900414
-4082.99,0.843074,0.0220229,3,11,0,4083.94,0.903226,0.901142
-4082.3,0.987852,0.0260399,3,15,0,4084.16,0.89883,0.899691
-4082.83,0.360408,0.045349,2,5,0,4083.35,0.903221,0.900825
-4082.5,0.997431,0.0146379,4,21,0,4083.1,0.892485,0.902066
-4082.39,0.97407,0.0260315,3,15,0,4082.89,0.896252,0.900034
-4082.44,0.219321,0.0431333,2,7,0,4082.55,0.896485,0.899695
-4082.88,0.958877,0.00989768,3,15,0,4083.98,0.896576,0.902829
-4082.72,0.997742,0.0157578,4,23,0,4083.38,0.908942,0.897165
-4083.37,0.97076,0.0275185,3,15,0,4083.99,0.914756,0.895991
-4083.37,7.55294e-06,0.0444756,1,1,0,4086.21,0.914756,0.895991
-4083.75,0.996827,0.00612146,4,15,0,4083.82,0.916096,0.896643
-4082.56,0.96913,0.0106015,5,39,0,4085.63,0.893145,0.900678
-4082.52,0.916635,0.016994,3,11,0,4083.84,0.896778,0.899322
-4082.48,0.815462,0.023754,2,7,0,4083.73,0.893062,0.902045
-4082.6,0.937542,0.0257665,2,3,0,4082.82,0.892293,0.902749
-4082.56,0.975774,0.0375937,3,7,0,4082.61,0.892164,0.902506
-4082.56,5.68718e-06,0.0598426,1,1,0,4083.19,0.892164,0.902506
-4083.1,0.953038,0.00905005,3,7,0,4084.77,0.892032,0.90411
-4082.44,0.996705,0.0136854,3,15,0,4084.23,0.902426,0.898139
-4082.69,0.973463,0.0228208,3,11,0,4084.32,0.891699,0.903127
-4082.86,0.992993,0.0357725,3,7,0,4083.02,0.889533,0.903727
-4082.86,0.244027,0.0583394,1,3,0,4083.52,0.889533,0.903727
-4084.58,0.908008,0.0165533,2,7,0,4085.33,0.886109,0.907065
-4082.75,0.976094,0.0221435,2,7,0,4086.57,0.889198,0.902595
-4082.38,0.790719,0.0344993,3,11,0,4083.12,0.902874,0.898458
-4082.72,0.848229,0.0350064,3,11,0,4082.96,0.894641,0.902894
