# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2112018396
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=testtraces_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-8011.89,0.666667,0.015625,1,3,1,17020.9,0.539943,0.798008
-8011.89,0,7.84723,0,1,1,8012.17,0.539943,0.798008
-8011.89,0,1.10816,0,1,1,8011.99,0.539943,0.798008
-8011.89,0,0.0986461,0,1,1,8012.29,0.539943,0.798008
-7396.62,1,0.00718679,1,1,0,7981.84,0.563016,0.811846
-6589.25,1,0.00952276,1,1,0,7332.18,0.598091,0.830566
-4084.65,1,0.0145613,3,7,0,6293.42,0.796605,0.925953
-4003.7,1,0.0243505,3,7,0,4078.23,0.886147,0.906462
-4003.7,0.00189127,0.0430774,1,1,0,4007.52,0.886147,0.906462
-3998.45,0.994546,0.00337472,6,67,0,4006.15,0.922842,0.892278
-3999.77,0.974088,0.00617448,2,3,0,3999.88,0.922511,0.891028
-3998.71,0.998669,0.0107909,3,15,0,4000.53,0.921055,0.892465
-3999,0.930757,0.020592,3,15,0,4001.42,0.93021,0.897366
-3998.46,0.930106,0.0318872,3,9,0,4000.49,0.905992,0.899449
-3998.3,0.195826,0.0493749,2,3,0,3999.69,0.910379,0.89688
-3998.8,0.990204,0.00785356,3,7,0,3999.12,0.911268,0.895665
-3997.34,0.934334,0.0148164,4,19,0,4000.68,0.93095,0.89353
-3997.22,0.859862,0.0234349,3,15,0,3999.32,0.922997,0.89672
-3997.22,0.854334,0.0294478,2,7,0,3997.69,0.924537,0.894113
-3997.15,0.99869,0.036333,3,15,0,3997.3,0.927395,0.894409
-3997.15,0.00351705,0.0688056,1,1,0,3997.53,0.927395,0.894409
-4000.55,0.947611,0.00680805,3,7,0,4000.87,0.926413,0.899864
-3999.21,0.998429,0.0111615,3,7,0,4001.16,0.928104,0.89022
-3999.75,0.96193,0.0210534,3,15,0,4004.77,0.946844,0.888329
-3999.19,0.319896,0.035386,4,15,0,4000.51,0.944891,0.890052
-3998.99,0.999992,0.00941959,3,11,0,3999.35,0.943833,0.890174
-3997.54,0.875018,0.0176144,4,23,0,4000.29,0.930165,0.892331
-3997.26,0.895306,0.0229491,2,7,0,3998.16,0.928366,0.893443
-3999.93,0.443399,0.031502,3,15,0,4000.77,0.919748,0.891646
-3997.54,1,0.0123494,3,7,0,3999.81,0.920915,0.894205
-3997.12,0.953795,0.0225814,2,7,0,3997.91,0.919413,0.896353
-3997.12,0.151346,0.0360599,2,7,0,4001.21,0.919413,0.896353
-3999.37,0.971472,0.0065794,3,15,0,3999.64,0.916883,0.893018
-3999.43,0.98409,0.01104,4,23,0,4002.34,0.930906,0.897574
-3997.86,0.810107,0.018994,2,3,0,4002.95,0.928698,0.891833
-3997.44,0.932566,0.0205015,2,3,0,3998.48,0.929366,0.892688
-4000.38,0.561975,0.0304167,3,11,0,4000.44,0.932387,0.888298
-3997.69,1,0.0171835,2,3,0,4000.05,0.933979,0.893609
-3997.97,0.990011,0.0301628,2,7,0,3998.08,0.936144,0.891147
-3997.79,0.377726,0.0511655,2,5,0,3998.16,0.933554,0.891516
-3997.88,0.981308,0.0182915,2,7,0,3998.34,0.935133,0.891332
-3997.75,0.850822,0.0302209,3,15,0,3998.9,0.914651,0.899472
-3997.7,0.910667,0.035795,2,3,0,3997.9,0.913094,0.899372
-3997.7,0.000445257,0.0490346,1,1,0,3998.27,0.913094,0.899372
-3998.16,0.978049,0.00714455,4,27,0,4000.2,0.918102,0.899654
-4002.66,0.624454,0.0116117,1,3,0,4006.15,0.918827,0.903194
-4001.68,1,0.00795766,2,3,0,4002.94,0.918282,0.902728
-4000.37,1,0.0135263,1,1,0,4001.58,0.918247,0.901815
-3998.4,1,0.0228199,1,1,0,3999.91,0.917901,0.900004
-3999.12,0.236847,0.0382193,2,7,0,4000.33,0.916654,0.901071
-3999.85,0.965837,0.010519,2,3,0,4000.21,0.917262,0.901618
-4000.71,0.889669,0.0162287,1,1,0,4000.89,0.917029,0.902346
-3999.19,0.97515,0.0208491,3,15,0,4002.27,0.935576,0.895666
-3999.19,0.00437553,0.0325233,1,1,0,4004.56,0.935576,0.895666
-3997.33,0.999846,0.00542731,5,31,0,3999.55,0.928087,0.895391
-3997.1,0.981256,0.00897924,4,31,0,3999.22,0.920378,0.896054
-3997.39,0.962613,0.0141499,2,3,0,3997.55,0.920493,0.894678
-3997.39,0.981972,0.0212565,4,19,0,3997.86,0.927413,0.893051
-3997.84,0.95062,0.0331753,3,15,0,3999.37,0.913599,0.896308
-3997.84,0.358107,0.0480188,1,3,0,3997.87,0.913599,0.896308
-3998.15,0.982428,0.0186432,2,3,0,3998.18,0.913211,0.895874
-3997.75,0.900202,0.0289027,3,11,0,4000.32,0.930362,0.891799
-3997.75,0.104676,0.0372344,1,1,0,3998.36,0.930362,0.891799
-3999.64,0.950166,0.00847819,3,7,0,4000.29,0.930208,0.889374
-4000.09,0.986546,0.0122142,2,3,0,4000.16,0.930147,0.888984
-3997.31,1,0.0189461,2,3,0,3999.68,0.930078,0.894191
-3997.09,0.999933,0.0300919,4,31,0,3997.3,0.921029,0.895778
-3997.25,0.294263,0.0475356,2,5,0,3998.42,0.925905,0.893741
-3997.13,0.999983,0.0168013,4,19,0,3997.3,0.923803,0.8961
-3997.36,0.970525,0.0264874,3,11,0,3997.51,0.915511,0.897011
-3997.22,0.958021,0.0390644,3,15,0,3998.24,0.919744,0.897385
-3997.7,0.253245,0.0558941,1,3,0,3998.74,0.914307,0.899362
-3997.78,0.962902,0.0185265,3,11,0,3998.5,0.918898,0.894394
-3997.51,0.797307,0.0267723,3,11,0,3999.36,0.926385,0.89292
-3997.24,0.910403,0.0274514,3,11,0,3998.14,0.917699,0.897596
-3997.66,0.981417,0.0354287,2,7,0,3998.05,0.91169,0.898687
-3997.76,0.770631,0.0526613,1,1,0,3997.94,0.912145,0.897327
-3997.76,0.0570809,0.0509546,2,5,1,3998.88,0.912145,0.897327
-3998.4,0.967023,0.0117746,2,7,0,3998.51,0.91256,0.89572
-3997.95,0.982502,0.0169915,4,23,0,3999.02,0.924929,0.892447
-3997.64,0.999108,0.0251921,3,11,0,3998.1,0.929693,0.892126
-3997.83,0.555704,0.038446,2,5,0,3998.52,0.932012,0.891465
-3997.47,0.855196,0.0244087,3,15,0,3999.19,0.921212,0.894281
-3997.7,0.999859,0.0279827,3,9,0,3997.86,0.914971,0.896023
-3997.46,0.456815,0.0424755,3,7,0,3997.59,0.913809,0.898292
-3999.13,0.898912,0.0223816,3,11,0,4001.07,0.902038,0.901311
-3997.2,0.979592,0.0278681,3,9,0,3999.48,0.919499,0.895682
-3998.13,0.316252,0.0404378,2,7,0,3999.18,0.915246,0.895084
-3997.25,0.973498,0.016422,2,7,0,3998.81,0.916642,0.897096
-3997.41,0.993615,0.0235256,2,7,0,3997.57,0.914311,0.897694
-3997.41,0.285467,0.0348971,2,5,0,4000.73,0.914311,0.897694
-3997.71,0.999466,0.0135372,3,15,0,3997.85,0.911273,0.898865
-3998.13,0.885735,0.0202772,1,3,0,3998.41,0.911365,0.896741
-3998.55,0.593536,0.024458,2,3,0,4001.36,0.907601,0.897863
-3998.54,0.948446,0.0170798,3,11,0,3999.89,0.91754,0.90025
-3997.77,1,0.02312,2,3,0,3998.41,0.916866,0.899244
